vessel,service,ata,atb,ats,liner,berth window,berth,berth status
MSC CADIZ UA 816R,USA-STRING,26/04/18 23:42,27/04/18 06:30,28/04/18 02:10,MSC,27/04/2018 19:00,2,IN
MSC RONIT LP 816A,PARANA,27/04/18 06:00,27/04/18 10:45,28/04/18 08:50,MSC,23/04/2018 19:00,3,OUT
MAERSK LAMANAI 1805,NEO BOSSA,27/04/18 18:30,27/04/18 21:10,28/04/18 15:42,MAE,28/04/2018 01:00,1,IN
MSC PALAK NA 816R,NWC1,26/04/18 18:48,28/04/18 07:00,29/04/18 01:45,MSC,26/04/2018 07:00,2,OUT
LOG-IN RESILIENTE 032N,VITORIA,27/04/18 09:18,28/04/18 12:32,29/04/18 03:15,MSC,28/04/2018 19:00,3,IN
CMA CGM MAGDALENA 326NSN,NEO BOSSA,28/04/18 10:12,28/04/18 21:10,30/04/18 08:10,CMA,29/04/2018 01:00,1,IN
CEZANNE 812W,IPANE-ASAS,29/04/18 03:00,29/04/18 07:35,30/04/18 09:22,MAE,29/04/2018 01:00,2,OUT
MSC LUDOVICA UA 814A,USA-STRING,30/04/18 01:30,30/04/18 03:30,30/04/18 23:15,MSC,30/04/2018 07:00,3,IN
MSC ADELAIDE MM 816R,WMED,30/04/18 07:30,30/04/18 14:23,01/05/18 14:14,MSC,01/05/2018 01:00,2,IN
CSAV TRAIGUEN MM 814A,WMED,02/05/18 23:00,03/05/18 01:53,03/05/18 16:20,HLC,02/05/2018 07:00,2,OUT
PAUL RUSS 819W,SAEX,02/05/18 15:00,03/05/18 08:30,03/05/18 16:40,ALI,02/05/2018 13:00,3,OUT
MSC LILY NA 814A,NWC1,03/05/18 02:00,03/05/18 03:35,04/05/18 02:12,MSC,01/05/2018 19:00,1,OUT
FERNÃO DE MAGALHÃES 045S,ALCT2,03/05/18 16:18,03/05/18 20:30,04/05/18 07:54,ALI,04/05/2018 13:00,3,IN
MSC SARA ELENA FI 816R,IPANE-ASAS,02/05/18 07:54,03/05/18 23:50,05/05/18 02:43,MSC,03/05/2018 13:00,2,IN
MSC MARTA UA 817R,USA-STRING,04/05/18 07:00,04/05/18 10:08,05/05/18 01:10,MSC,04/05/2018 19:00,3,IN
MAERSK LOTA 1805,NEO BOSSA,04/05/18 17:55,04/05/18 20:25,05/05/18 15:45,MAE,05/05/2018 01:00,1,IN
LOG-IN RESILIENTE 033N,VITORIA,04/05/18 05:42,05/05/18 07:55,05/05/18 23:20,MSC,05/05/2018 19:00,3,IN
MAERSK LABERINTO 1806,NEO BOSSA,05/05/18 15:00,05/05/18 18:55,06/05/18 14:50,MAE,06/05/2018 01:00,1,IN
MSC ARICA NA 817R,NWC1,04/05/18 09:42,05/05/18 06:45,06/05/18 15:42,MSC,03/05/2018 07:00,2,OUT
MAERSK LETICIA 813W,IPANE-ASAS,06/05/18 03:00,06/05/18 04:40,07/05/18 04:40,MAE,06/05/2018 01:00,3,OUT
MSC MARGARITA UA 815A,USA-STRING,07/05/18 02:30,07/05/18 07:55,08/05/18 03:50,MSC,07/05/2018 07:00,3,IN
MSC AMALFI MM 817R,WMED,07/05/18 04:00,07/05/18 09:05,08/05/18 10:15,MSC,08/05/2018 01:00,2,IN
SAN ANTONIO 815W,SAEX,09/05/18 09:36,09/05/18 13:55,09/05/18 22:40,ALI,09/05/2018 13:00,3,IN
UASC UMM QASR NA 815A,NWC1,09/05/18 00:30,09/05/18 03:00,10/05/18 02:15,HLC,08/05/2018 19:00,2,OUT
MSC ELMA FI 817R,IPANE-ASAS,08/05/18 21:30,09/05/18 17:12,11/05/18 00:44,MSC,10/05/2018 13:00,1,IN
MSC AJACCIO MM 815A,WMED,09/05/18 23:30,10/05/18 01:20,11/05/18 07:39,MSC,09/05/2018 07:00,3,OUT
UASC ZAMZAM NA 818R,NWC1,09/05/18 19:18,10/05/18 07:00,11/05/18 06:50,HLC,10/05/2018 07:00,2,IN
MSC RONIT LP 819A,PARANA,10/05/18 14:30,11/05/18 04:34,12/05/18 03:40,MSC,03/05/2018 07:00,1,OUT
BARTOLOMEU DIAS 037S,ALCT2,09/05/18 19:00,11/05/18 17:45,12/05/18 04:30,ALI,11/05/2018 13:00,3,IN
MSC LUDOVICA UA 818R,USA-STRING,11/05/18 03:00,11/05/18 11:31,12/05/18 08:13,MSC,11/05/2018 19:00,2,IN
LOG-IN RESILIENTE 034N,VITORIA,11/05/18 09:30,12/05/18 05:45,12/05/18 22:50,MSC,12/05/2018 19:00,3,IN
MAERSK LAMANAI 1806,NEO BOSSA,12/05/18 00:48,12/05/18 13:32,13/05/18 15:45,MAE,13/05/2018 01:00,2,IN
CMA CGM RIO GRANDE 0NS05S1MA,NEO BOSSA,11/05/18 23:30,12/05/18 07:10,13/05/18 16:15,CMA,12/05/2018 01:00,1,IN
MAERSK SHAMS 814W,IPANE-ASAS,13/05/18 02:30,13/05/18 07:30,14/05/18 13:15,MAE,13/05/2018 01:00,3,OUT
MSC NITA LP 820A,PARANA,13/05/18 07:00,13/05/18 20:15,14/05/18 13:45,MSC,10/05/2018 07:00,2,OUT
MSC MAUREEN UA 816A,USA-STRING,14/05/18 06:00,14/05/18 07:24,15/05/18 02:15,MSC,14/05/2018 07:00,1,IN
CSAV TRAIGUEN MM 818R,WMED,14/05/18 00:00,14/05/18 20:40,15/05/18 20:45,HLC,15/05/2018 01:00,2,IN
PAUL RUSS 821W,SAEX,16/05/18 12:00,16/05/18 15:50,16/05/18 21:20,ALI,16/05/2018 13:00,3,IN
MSC ELODIE NA 816A,NWC1,15/05/18 20:00,16/05/18 00:55,16/05/18 23:15,MSC,15/05/2018 19:00,1,OUT
CEZANNE 812E,IPANE-ASAS,16/05/18 04:30,16/05/18 09:03,17/05/18 18:59,MAE,17/05/2018 13:00,2,IN
MSC VITA MM 816A,WMED,17/05/18 01:30,17/05/18 03:15,18/05/18 04:17,MSC,16/05/2018 07:00,3,OUT
MSC LILY NA 819R,NWC1,17/05/18 02:30,17/05/18 04:00,18/05/18 16:13,MSC,17/05/2018 07:00,1,IN
SEASPAN DUBAI 006S,ALCT2,16/05/18 18:36,18/05/18 07:58,18/05/18 22:12,ALI,18/05/2018 13:00,3,IN
MSC MARGARITA UA 819R,USA-STRING,18/05/18 01:30,18/05/18 03:16,19/05/18 03:41,MSC,18/05/2018 19:00,2,IN
MAERSK LABREA 1807,NEO BOSSA,18/05/18 22:00,19/05/18 01:44,19/05/18 20:31,MAE,19/05/2018 01:00,1,IN
LOG-IN RESILIENTE 035N,VITORIA,18/05/18 15:19,19/05/18 02:25,21/05/18 02:15,MSC,19/05/2018 19:00,3,IN
MAERSK LOTA 1806,NEO BOSSA,19/05/18 09:00,19/05/18 15:30,20/05/18 19:07,MAE,20/05/2018 01:00,2,IN
MAERSK SIRAC 815W,IPANE-ASAS,19/05/18 23:00,20/05/18 00:58,21/05/18 10:15,MAE,20/05/2018 01:00,1,IN
MSC KRYSTAL UA 817A,USA-STRING,21/05/18 03:00,21/05/18 05:07,21/05/18 21:39,MSC,21/05/2018 07:00,3,IN
MSC AJACCIO MM 819R,WMED,20/05/18 23:36,21/05/18 14:27,22/05/18 21:20,MSC,22/05/2018 01:00,2,IN
SAN ANTONIO 817W,SAEX,23/05/18 11:00,23/05/18 19:50,24/05/18 01:40,ALI,23/05/2018 13:00,3,IN
FERNÃO DE MAGALHÃES 046S,ALCT2,24/05/18 04:00,24/05/18 06:44,25/05/18 12:48,ALI,25/05/2018 13:00,3,IN
MAERSK LETICIA 813E,IPANE-ASAS,22/05/18 21:30,23/05/18 18:10,25/05/18 00:35,MAE,24/05/2018 13:00,1,IN
CCNI ANDES NA 817A,NWC1,23/05/18 10:00,23/05/18 19:05,25/05/18 01:10,HLC,22/05/2018 19:00,2,OUT
UASC UMM QASR NA 820R,NWC1,23/05/18 20:48,25/05/18 07:20,25/05/18 23:42,HLC,24/05/2018 07:00,1,IN
CMA CGM LITANI 0NS09S1MA,NEO BOSSA,25/05/18 16:00,25/05/18 18:40,26/05/18 18:10,CMA,26/05/2018 01:00,2,IN
MSC MELINE MM 817A,WMED,24/05/18 20:30,25/05/18 23:00,27/05/18 02:59,MSC,23/05/2018 07:00,3,OUT
LOG-IN RESILIENTE 036N,VITORIA,25/05/18 19:00,27/05/18 07:20,28/05/18 02:50,MSC,26/05/2018 19:00,3,IN
MSC JEONGMIN FI 816A,IPANE-ASAS,26/05/18 20:30,26/05/18 22:00,28/05/18 03:16,MSC,27/05/2018 01:00,2,IN
MSC MAUREEN UA 820R,USA-STRING,27/05/18 07:30,28/05/18 01:36,28/05/18 15:40,MSC,25/05/2018 19:00,1,OUT
MSC RONIT LP 821A,PARANA,25/05/18 14:30,28/05/18 06:44,29/05/18 02:46,MSC,17/05/2018 07:00,3,OUT
CMA CGM RIO GRANDE 0NS06N1MA,NEO BOSSA,28/05/18 21:20,29/05/18 00:10,29/05/18 20:15,CMA,27/05/2018 01:00,1,OUT
MSC LORETTA UA 818A,USA-STRING,28/05/18 13:00,28/05/18 14:15,30/05/18 03:00,MSC,28/05/2018 07:00,2,OUT
PAUL RUSS 823W,SAEX,30/05/18 05:00,30/05/18 07:15,30/05/18 16:45,ALI,30/05/2018 13:00,3,IN
MSC AGADIR MM 818A,WMED,29/05/18 21:00,30/05/18 02:42,31/05/18 03:20,MSC,30/05/2018 07:00,1,IN
MSC NITA LP 822A,PARANA,30/05/18 17:00,30/05/18 21:50,31/05/18 16:40,MSC,24/05/2018 07:00,3,OUT
MSC VITA MM 820R,WMED,31/05/18 08:00,31/05/18 09:30,01/06/18 00:46,MSC,29/05/2018 01:00,2,OUT
MAERSK SHAMS 814E,IPANE-ASAS,31/05/18 06:00,31/05/18 10:30,01/06/18 05:22,MAE,31/05/2018 13:00,1,IN
MSC BRUNELLA NA 818A,NWC1,31/05/18 07:48,01/06/18 04:42,02/06/18 11:35,MSC,29/05/2018 19:00,2,OUT
MAERSK LINS 1807,NEO BOSSA,01/06/18 04:45,01/06/18 17:30,02/06/18 22:48,MAE,02/06/2018 01:00,1,IN
MAERSK LAGUNA 817W,IPANE-ASAS,03/06/18 02:00,03/06/18 03:40,04/06/18 10:45,MAE,03/06/2018 01:00,2,OUT
UASC AL KHOR NA 819A,NWC1,05/06/18 04:00,05/06/18 05:50,06/06/18 09:05,HLC,05/06/2018 19:00,2,IN
MSC AZOV MM 819A,WMED,05/06/18 22:00,06/06/18 01:50,07/06/18 02:10,MSC,06/06/2018 07:00,1,IN
BARTOLOMEU DIAS 038S,ALCT2,07/06/18 05:00,07/06/18 08:50,07/06/18 19:42,ALI,08/06/2018 13:00,3,IN
MSC ELODIE NA 821R,NWC1,07/06/18 00:30,07/06/18 07:30,08/06/18 01:40,MSC,07/06/2018 07:00,2,IN
SAN ANTONIO 819W,SAEX,07/06/18 07:40,07/06/18 22:15,08/06/18 02:05,ALI,06/06/2018 13:00,3,OUT
MSC KRYSTAL UA 821R,USA-STRING,07/06/18 17:18,08/06/18 06:25,09/06/18 10:11,MSC,08/06/2018 19:00,3,IN
MAERSK SIRAC 815E,IPANE-ASAS,08/06/18 05:00,08/06/18 08:15,09/06/18 13:09,MAE,07/06/2018 13:00,2,OUT
LOG-IN RESILIENTE 037N,VITORIA,08/06/18 06:00,08/06/18 14:00,09/06/18 20:15,MSC,09/06/2018 19:00,1,IN
MAERSK LABREA 1810,NEO BOSSA,09/06/18 10:20,09/06/18 17:47,10/06/18 18:09,MAE,10/06/2018 01:00,2,IN
MSC MARINA UA 819A,USA-STRING,09/06/18 22:30,10/06/18 00:15,10/06/18 22:40,MSC,11/06/2018 07:00,3,IN
YM ANTWERP XA 819R,EXTRA CALL,29/05/18 13:30,10/06/18 10:51,11/06/18 14:11,MSC,EXTRA CALL,1,OUT
CMA CGM MAGDALENA 0NS0DS1MA,NEO BOSSA,10/06/18 16:00,10/06/18 22:05,11/06/18 20:15,CMA,09/06/2018 01:00,2,OUT
MSC MELINE MM 821R,WMED,11/06/18 11:00,11/06/18 13:00,12/06/18 13:00,MSC,12/06/2018 01:00,3,IN
MSC RONIT LP 823A,PARANA,12/06/18 11:00,12/06/18 12:20,13/06/18 10:20,MSC,07/06/2018 07:00,1,OUT
MOL LONDRINA 0818S,IPANE-ASAS,12/06/18 18:00,12/06/18 19:58,13/06/18 17:13,ONE,10/06/2018 01:00,2,OUT
CCNI ANDES NA 822R,NWC1,14/06/18 01:00,14/06/18 03:45,15/06/18 19:15,HLC,14/06/2018 07:00,2,IN
MSC PALAK NA 820A,NWC1,14/06/18 01:00,14/06/18 03:00,16/06/18 04:50,MSC,12/06/2018 19:00,3,OUT
MAERSK LABERINTO 1807,NEO BOSSA,15/06/18 21:00,15/06/18 22:55,16/06/18 20:19,MAE,16/06/2018 01:00,2,IN
MSC JEONGMIN FI 822R,IPANE-ASAS,13/06/18 10:06,14/06/18 02:30,17/06/18 16:40,MSC,14/06/2018 13:00,1,IN
MSC LORETTA UA 822R,USA-STRING,14/06/18 15:00,16/06/18 11:15,17/06/18 04:07,MSC,15/06/2018 19:00,3,IN
LOG-IN RESILIENTE 038N,VITORIA,15/06/18 08:15,17/06/18 06:15,18/06/18 02:10,MSC,16/06/2018 19:00,3,IN
CMA CGM LITANI 0NS0AN1MA,NEO BOSSA,17/06/18 10:00,17/06/18 12:20,19/06/18 04:19,CMA,17/06/2018 01:00,2,OUT
MSC ALBANY 0819S,IPANE-ASAS,18/06/18 05:00,18/06/18 06:32,19/06/18 04:45,ONE,17/06/2018 01:00,1,OUT
MSC CADIZ UA 820A,USA-STRING,18/06/18 05:12,18/06/18 18:25,19/06/18 10:15,MSC,18/06/2018 07:00,3,IN
MSC AGADIR MM 822R,WMED,18/06/18 07:00,19/06/18 09:10,20/06/18 12:10,MSC,19/06/2018 01:00,2,IN
MSC NITA LP 824A,PARANA,19/06/18 15:00,20/06/18 01:30,20/06/18 17:50,MSC,14/06/2018 07:00,3,OUT
MSC ADELAIDE MM 820A,WMED,20/06/18 22:00,21/06/18 02:04,22/06/18 05:16,MSC,13/06/2018 07:00,3,OUT
MSC BRUNELLA NA 823R,NWC1,20/06/18 20:10,21/06/18 03:10,22/06/18 05:36,MSC,21/06/2018 07:00,2,IN
MAERSK LAGUNA 817E,IPANE-ASAS,21/06/18 03:30,21/06/18 07:10,22/06/18 23:50,MAE,21/06/2018 13:00,1,IN
FERNÃO DE MAGALHÃES 047S,ALCT2,21/06/18 14:30,22/06/18 11:05,23/06/18 11:20,ALI,22/06/2018 13:00,3,IN
MSC MARINA UA 824R,USA-STRING,22/06/18 05:30,22/06/18 12:00,23/06/18 12:10,MSC,22/06/2018 19:00,2,IN
LOG-IN RESILIENTE 039N,VITORIA,22/06/18 20:30,23/06/18 18:45,24/06/18 20:50,MSC,23/06/2018 19:00,3,IN
MAERSK LINS 1808,NEO BOSSA,23/06/18 03:24,23/06/18 16:30,25/06/18 01:42,MAE,24/06/2018 01:00,2,IN
MSC GIULIA FI 820A,IPANE-ASAS,23/06/18 23:00,24/06/18 00:35,25/06/18 11:46,MSC,24/06/2018 01:00,1,IN
MSC MARTA UA 821A,USA-STRING,22/06/18 00:00,24/06/18 23:50,25/06/18 23:40,MSC,25/06/2018 07:00,3,IN
MSC AMALFI MM 821A,WMED,25/06/18 01:30,25/06/18 06:45,26/06/18 12:12,MSC,20/06/2018 07:00,2,OUT
MSC AZOV MM 823R,WMED,25/06/18 02:24,25/06/18 18:40,27/06/18 02:10,MSC,26/06/2018 01:00,1,IN
MSC ARICA NA 821A,NWC1,23/06/18 00:54,26/06/18 03:05,27/06/18 20:15,MSC,19/06/2018 19:00,3,OUT
UASC ZAMZAM NA 822A,NWC1,26/06/18 01:24,26/06/18 20:15,28/06/18 03:25,HLC,26/06/2018 19:00,2,IN
MSC ORIANE UA 823A,USA-STRING,27/06/18 15:00,28/06/18 00:35,28/06/18 14:40,MSC,02/07/2018 07:00,3,IN
CSAV TRAIGUEN MM 822A,WMED,28/06/18 01:00,28/06/18 02:50,29/06/18 00:20,HLC,27/06/2018 07:00,1,OUT
UASC AL KHOR NA 825R,NWC1,27/06/18 22:18,28/06/18 09:00,29/06/18 15:17,HLC,28/06/2018 07:00,2,IN
MSC RONIT LP 825A,PARANA,28/06/18 07:00,28/06/18 17:50,30/06/18 00:15,MSC,21/06/2018 07:00,3,OUT
BARTOLOMEU DIAS 039S,ALCT2,28/06/18 05:30,29/06/18 09:10,30/06/18 06:15,ALI,29/06/2018 13:00,1,IN
MSC CADIZ UA 825R,USA-STRING,29/06/18 05:00,30/06/18 03:25,01/07/18 01:40,MSC,29/06/2018 19:00,3,IN
MAERSK LAMANAI 1807,NEO BOSSA,29/06/18 19:30,29/06/18 21:21,01/07/18 01:10,MAE,30/06/2018 01:00,2,IN
LOG-IN RESILIENTE 040N,VITORIA,29/06/18 11:30,30/06/18 10:00,01/07/18 14:45,MSC,30/06/2018 19:00,1,IN
CMA CGM MAGDALENA 0NS0EN1MA,NEO BOSSA,30/06/18 06:30,01/07/18 10:40,02/07/18 16:45,CMA,01/07/2018 01:00,2,IN
MOL LONDRINA 0824N,IPANE-ASAS,29/06/18 08:00,01/07/18 11:30,03/07/18 06:15,ONE,28/06/2018 13:00,3,OUT
MOL ANCHORAGE 0821S,IPANE-ASAS,02/07/18 22:30,03/07/18 00:05,03/07/18 20:22,ONE,01/07/2018 01:00,1,OUT
MSC ADELAIDE MM 825R,WMED,03/07/18 22:00,03/07/18 23:40,05/07/18 17:05,MSC,03/07/2018 01:00,2,OUT
MSC NITA LP 826A,PARANA,04/07/18 12:00,04/07/18 14:55,05/07/18 12:47,MSC,28/06/2018 07:00,3,OUT
PEDRO ALVARES CABRAL 049S,ALCT2,04/07/18 11:30,05/07/18 13:50,06/07/18 01:10,ALI,06/07/2018 13:00,3,IN
MSC ALBANY 0825N,IPANE-ASAS,04/07/18 23:00,05/07/18 02:50,06/07/18 05:40,ONE,05/07/2018 13:00,1,IN
MSC PALAK NA 826R,NWC1,05/07/18 07:00,05/07/18 22:45,07/07/18 10:47,MSC,05/07/2018 07:00,2,IN
MSC MARTA UA 826R,USA-STRING,06/07/18 04:30,06/07/18 09:25,07/07/18 03:00,MSC,06/07/2018 19:00,3,IN
MAERSK LOTA 1807,NEO BOSSA,06/07/18 16:00,06/07/18 19:05,07/07/18 16:20,MAE,07/07/2018 01:00,1,IN
MSC MARGARITA UA 823A,USA-STRING,06/07/18 10:36,07/07/18 07:13,08/07/18 04:20,MSC,09/07/2018 07:00,3,IN
MAERSK LABERINTO 1808,NEO BOSSA,07/07/18 09:00,07/07/18 19:40,08/07/18 20:50,MAE,08/07/2018 01:00,1,IN
MSC NAOMI FI 822A,IPANE-ASAS,07/07/18 20:00,08/07/18 00:25,09/07/18 09:55,MSC,08/07/2018 01:00,2,IN
LOG-IN RESILIENTE 041N,VITORIA,07/07/18 06:00,08/07/18 07:25,09/07/18 14:40,MSC,07/07/2018 19:00,3,IN
MSC LILY NA 823A,NWC1,06/07/18 06:26,09/07/18 01:30,10/07/18 09:10,MSC,03/07/2018 19:00,1,OUT
MSC AMALFI MM 826R,WMED,09/07/18 02:00,09/07/18 13:10,12/07/18 14:36,MSC,10/07/2018 01:00,2,IN
MSC AJACCIO MM 823A,WMED,10/07/18 22:48,12/07/18 02:30,13/07/18 06:10,MSC,04/07/2018 07:00,3,OUT
MSC GIULIA FI 826R,IPANE-ASAS,11/07/18 03:46,12/07/18 09:02,13/07/18 17:05,MSC,12/07/2018 13:00,1,IN
MSC ARICA NA 827R,NWC1,13/07/18 02:00,13/07/18 09:26,14/07/18 04:15,MSC,12/07/2018 07:00,2,OUT
FERNÃO DE MAGALHÃES 048S,ALCT2,13/07/18 02:24,13/07/18 09:58,13/07/18 23:05,ALI,13/07/2018 13:00,3,IN
MSC ORIANE UA 827R,USA-STRING,13/07/18 00:12,13/07/18 20:55,14/07/18 11:40,MSC,13/07/2018 19:00,1,IN
CMA CGM RIO GRANDE 0NS0LS1MA,NEO BOSSA,13/07/18 21:30,14/07/18 03:50,15/07/18 00:15,CMA,14/07/2018 01:00,3,IN
UASC UMM QASR NA 824A,NWC1,13/07/18 04:00,14/07/18 08:05,15/07/18 18:10,HLC,10/07/2018 19:00,2,OUT
MAERSK LAMANAI 1808,NEO BOSSA,14/07/18 07:37,14/07/18 16:40,15/07/18 10:15,MAE,15/07/2018 01:00,1,IN
LOG-IN RESILIENTE 042N,VITORIA,14/07/18 20:30,15/07/18 03:40,15/07/18 20:05,MSC,14/07/2018 19:00,3,OUT
MSC RONIT LP 827A,PARANA,12/07/18 14:30,15/07/18 15:10,16/07/18 12:15,MSC,05/07/2018 07:00,1,OUT
MSC SARA ELENA FI 823A,IPANE-ASAS,15/07/18 15:06,15/07/18 23:25,17/07/18 05:45,MSC,15/07/2018 01:00,2,OUT
MSC MAUREEN UA 825A,USA-STRING,16/07/18 04:00,16/07/18 05:30,17/07/18 20:12,MSC,16/07/2018 07:00,3,IN
CSAV TRAIGUEN MM 827R,WMED,16/07/18 06:22,16/07/18 19:26,17/07/18 19:12,HLC,17/07/2018 01:00,1,IN
MSC DESIREE XA 828A,EXTRA CALL,17/07/18 03:00,17/07/18 09:05,18/07/18 21:10,MSC,EXTRA CALL,2,OUT
MOL ANCHORAGE 0827N,IPANE-ASAS,18/07/18 06:30,18/07/18 20:29,20/07/18 01:15,ONE,19/07/2018 13:00,3,IN
UASC ZAMZAM NA 828R,NWC1,19/07/18 01:00,20/07/18 06:16,21/07/18 00:46,HLC,19/07/2018 07:00,2,IN
MSC FIAMMETTA XA 825A,EXTRA CALL,19/07/18 22:12,20/07/18 07:25,21/07/18 02:36,MSC,EXTRA CALL,1,OUT
MSC MARGARITA UA 828R,USA-STRING,20/07/18 03:18,20/07/18 11:35,21/07/18 16:10,MSC,20/07/2018 19:00,3,IN
MSC NITA XA 829A,EXTRA CALL,20/07/18 17:54,21/07/18 05:56,22/07/18 06:15,MSC,12/07/2018 07:00,1,OUT
MAERSK LABREA 1811,NEO BOSSA,21/07/18 06:00,21/07/18 07:42,22/07/18 05:49,MAE,21/07/2018 01:00,2,OUT
MSC VITA MM 825A,WMED,21/07/18 21:00,22/07/18 01:05,22/07/18 18:40,MSC,18/07/2018 07:00,3,OUT
BARTOLOMEU DIAS 040S,ALCT2,22/07/18 06:30,22/07/18 14:05,23/07/18 02:10,ALI,20/07/2018 13:00,2,OUT
MSC ELMA FI 824A,IPANE-ASAS,22/07/18 02:42,22/07/18 10:40,23/07/18 14:20,MSC,22/07/2018 01:00,1,OUT
MSC ALESSIA XA 826A,USA-STRING,22/07/18 18:00,22/07/18 21:55,24/07/18 18:10,MSC,23/07/2018 07:00,3,IN
MAERSK LOTA 1808,NEO BOSSA,23/07/18 01:30,23/07/18 06:30,24/07/18 03:17,MAE,22/07/2018 01:00,2,OUT
MSC ELODIE NA 826A,NWC1,24/07/18 01:00,24/07/18 02:30,25/07/18 07:10,MSC,24/07/2018 19:00,1,IN
MSC FIAMMETTA UA 826A,USA-STRING,24/07/18 01:48,24/07/18 09:31,25/07/18 06:20,MSC,23/07/2018 07:00,2,OUT
MSC MELINE MM 826A,WMED,25/07/18 00:00,25/07/18 01:20,26/07/18 02:40,MSC,25/07/2018 07:00,3,IN
LOG-IN RESILIENTE 043N,VITORIA,25/07/18 03:30,25/07/18 11:25,26/07/18 08:35,MSC,21/07/2018 19:00,2,OUT
PEDRO ALVARES CABRAL 050S,ALCT2,26/07/18 03:00,26/07/18 06:25,27/07/18 16:40,ALI,27/07/2018 13:00,3,IN
MSC NAOMI FI 828R,IPANE-ASAS,24/07/18 22:48,25/07/18 19:45,29/07/18 14:38,MSC,26/07/2018 13:00,1,IN
MSC LILY NA 829R,NWC1,26/07/18 17:30,26/07/18 19:30,27/07/18 15:05,MSC,26/07/2018 07:00,2,OUT
CMA CGM LITANI 0NS0PS1MA,NEO BOSSA,27/07/18 18:30,27/07/18 21:50,28/07/18 16:35,CMA,28/07/2018 01:00,2,IN
MAERSK LA PAZ 825W,IPANE-ASAS,28/07/18 20:00,29/07/18 08:05,30/07/18 10:50,MAE,29/07/2018 01:00,3,IN
CMA CGM RIO GRANDE 0NS0MN1MA,NEO BOSSA,29/07/18 05:00,29/07/18 21:30,31/07/18 05:35,CMA,29/07/2018 01:00,2,OUT
MSC MAUREEN UA 829R,USA-STRING,28/07/18 07:30,29/07/18 22:40,30/07/18 20:10,MSC,27/07/2018 19:00,1,OUT
MSC AJACCIO MM 828R,WMED,29/07/18 23:48,30/07/18 17:00,01/08/18 16:15,MSC,24/07/2018 01:00,3,OUT
MSC ALESSIA XA 831R,EXTRA CALL,30/07/18 14:36,31/07/18 04:05,01/08/18 03:20,MSC,EXTRA CALL,1,OUT
CCNI ANDES NA 827A,NWC1,31/07/18 01:30,31/07/18 11:50,01/08/18 17:50,HLC,31/07/2018 19:00,2,IN
CONTI LYON UA 827A,USA-STRING,30/07/18 10:54,01/08/18 07:20,02/08/18 00:45,MSC,30/07/2018 07:00,1,OUT
MSC AGADIR MM 827A,WMED,01/08/18 22:00,01/08/18 23:35,02/08/18 18:35,MSC,01/08/2018 07:00,2,OUT
MSC VITA MM 829R,WMED,02/08/18 03:30,02/08/18 06:30,03/08/18 03:40,MSC,31/07/2018 01:00,3,OUT
MSC SARA ELENA FI 829R,IPANE-ASAS,31/07/18 21:18,02/08/18 12:38,04/08/18 02:38,MSC,02/08/2018 13:00,1,IN
LOG-IN RESILIENTE 044N,VITORIA,01/08/18 16:00,02/08/18 22:35,04/08/18 10:38,MSC,04/08/2018 19:00,2,IN
MAERSK LINS 1809,NEO BOSSA,03/08/18 15:00,03/08/18 17:30,04/08/18 17:15,MAE,04/08/2018 01:00,3,IN
MSC FIAMMETTA UA 830R,USA-STRING,03/08/18 06:12,04/08/18 07:28,05/08/18 01:10,MSC,03/08/2018 19:00,1,IN
MAERSK LABREA 1812,NEO BOSSA,04/08/18 06:54,04/08/18 21:00,06/08/18 09:29,MAE,05/08/2018 01:00,3,IN
MAERSK LETICIA 826W,IPANE-ASAS,04/08/18 21:00,05/08/18 00:34,06/08/18 08:44,MAE,05/08/2018 01:00,2,IN
MSC RONIT LP 829A,PARANA,29/07/18 17:06,05/08/18 05:14,11/08/18 15:35,MSC,26/07/2018 07:00,1,OUT
UASC UMM QASR NA 830R,NWC1,03/08/18 00:48,06/08/18 13:07,07/08/18 07:50,HLC,02/08/2018 07:00,2,OUT
FERNÃO DE MAGALHÃES 049S,ALCT2,05/08/18 12:50,06/08/18 13:50,07/08/18 00:48,ALI,03/08/2018 13:00,3,OUT
MSC MELINE MM 830R,WMED,05/08/18 23:30,06/08/18 20:35,08/08/18 00:13,MSC,07/08/2018 01:00,1,IN
MSC MARINA UA 828A,USA-STRING,08/08/18 06:00,08/08/18 07:20,09/08/18 03:48,MSC,06/08/2018 07:00,2,OUT
MSC AZOV MM 828A,WMED,09/08/18 00:00,09/08/18 01:54,09/08/18 12:15,MSC,08/08/2018 07:00,3,OUT
MSC BRUNELLA NA 828A,NWC1,09/08/18 04:00,09/08/18 07:10,10/08/18 15:45,MSC,07/08/2018 19:00,2,OUT
MSC ELMA FI 830R,IPANE-ASAS,09/08/18 07:48,09/08/18 15:35,11/08/18 01:50,MSC,09/08/2018 13:00,1,IN
MSC ELODIE NA 831R,NWC1,09/08/18 19:00,09/08/18 20:45,11/08/18 01:30,MSC,09/08/2018 07:00,3,OUT
CMA CGM MAGDALENA 0NS0VS1MA,NEO BOSSA,10/08/18 19:30,10/08/18 21:55,12/08/18 17:13,CMA,11/08/2018 01:00,2,IN
CONTI LYON UA 831R,USA-STRING,10/08/18 08:00,11/08/18 09:30,12/08/18 13:10,MSC,10/08/2018 19:00,1,IN
