vessel,service,ata,atb,ats,liner,berth window,berth,berth status
CMA CGM LITANI 0NS0QN1MA,NEO BOSSA,12/08/18 02:30,12/08/18 22:42,14/08/18 15:46,CMA,12/08/2018 01:00,1,OUT
MSC CADIZ UA 829A,USA-STRING,13/08/18 04:45,13/08/18 10:05,14/08/18 19:53,MSC,13/08/2018 07:00,3,IN
UASC AL KHOR NA 829A,NWC1,14/08/18 00:00,14/08/18 15:05,15/08/18 18:09,HLC,14/08/2018 19:00,2,IN
MSC AGADIR MM 831R,WMED,14/08/18 08:06,15/08/18 00:00,16/08/18 15:03,MSC,14/08/2018 01:00,1,OUT
BARTOLOMEU DIAS 041S,ALCT2,13/08/18 10:18,15/08/18 12:05,16/08/18 00:55,ALI,10/08/2018 13:00,3,OUT
MAERSK LA PAZ 825E,IPANE-ASAS,16/08/18 04:00,16/08/18 07:30,19/08/18 16:43,MAE,16/08/2018 13:00,3,IN
MSC ADELAIDE MM 829A,WMED,16/08/18 22:00,16/08/18 23:35,18/08/18 01:15,MSC,15/08/2018 07:00,2,OUT
CCNI ANDES NA 832R,NWC1,16/08/18 22:00,17/08/18 04:40,18/08/18 15:11,HLC,16/08/2018 07:00,1,OUT
MAERSK LABERINTO 1809,NEO BOSSA,18/08/18 11:00,18/08/18 12:50,19/08/18 07:47,MAE,18/08/2018 01:00,2,OUT
MSC MARINA UA 832R,USA-STRING,18/08/18 21:00,18/08/18 22:36,19/08/18 17:03,MSC,17/08/2018 19:00,1,OUT
MAERSK LINS 1810,NEO BOSSA,18/08/18 11:30,19/08/18 11:43,20/08/18 08:45,MAE,19/08/2018 01:00,2,IN
MAERSK LEON 828W,IPANE-ASAS,19/08/18 05:48,19/08/18 21:28,20/08/18 22:39,MAE,19/08/2018 01:00,3,OUT
MSC MARTA UA 830A,USA-STRING,20/08/18 04:00,20/08/18 07:38,21/08/18 09:40,MSC,20/08/2018 07:00,1,IN
MSC AZOV MM 832R,WMED,20/08/18 01:00,20/08/18 14:20,21/08/18 23:10,MSC,21/08/2018 01:00,2,IN
MSC PALAK NA 830A,NWC1,21/08/18 13:00,21/08/18 14:30,22/08/18 07:20,MSC,21/08/2018 19:00,1,IN
PEDRO ALVARES CABRAL 051S,ALCT2,20/08/18 18:30,21/08/18 15:44,22/08/18 01:15,ALI,17/08/2018 13:00,3,OUT
LOG-IN RESILIENTE 046N,VITORIA,22/08/18 00:45,22/08/18 05:50,23/08/18 11:38,MSC,18/08/2018 19:00,2,OUT
MSC BRUNELLA NA 833R,NWC1,23/08/18 05:00,23/08/18 19:35,24/08/18 22:20,MSC,23/08/2018 07:00,1,IN
MAERSK LETICIA 826E,IPANE-ASAS,23/08/18 05:30,23/08/18 22:30,25/08/18 14:45,MAE,23/08/2018 13:00,3,IN
MSC CADIZ UA 833R,USA-STRING,24/08/18 02:00,24/08/18 20:30,25/08/18 15:30,MSC,24/08/2018 19:00,2,IN
MAERSK LAMANAI 1809,NEO BOSSA,25/08/18 01:35,25/08/18 07:05,26/08/18 03:45,MAE,25/08/2018 01:00,1,OUT
MSC AMALFI MM 830A,WMED,25/08/18 15:00,25/08/18 19:30,27/08/18 08:40,MSC,22/08/2018 07:00,2,OUT
CMA CGM MAGDALENA 0NS0WN1MA,NEO BOSSA,25/08/18 06:18,25/08/18 20:20,27/08/18 09:25,CMA,26/08/2018 01:00,3,IN
FERNÃO DE MAGALHÃES 050S,ALCT2,23/08/18 13:00,26/08/18 07:20,26/08/18 19:20,ALI,24/08/2018 13:00,1,IN
MSC ORIANE UA 831A,USA-STRING,27/08/18 04:00,27/08/18 05:59,28/08/18 13:20,MSC,27/08/2018 07:00,1,IN
MSC JEONGMIN FI 829A,IPANE-ASAS,26/08/18 04:00,27/08/18 17:05,28/08/18 22:40,MSC,26/08/2018 01:00,2,OUT
MSC ARICA NA 831A,NWC1,28/08/18 01:00,28/08/18 02:33,29/08/18 19:50,MSC,28/08/2018 19:00,3,IN
