BERTH_WINDOW,CHEGADA_BARRA,PREVISAO_ATRACACAO,ESCA_DTHR_ATRACACAO,INICIO_OPERACAO,FIM_OPERCACAO,DESATRACACAO,NAVI_NOME,HINA_QTDE_TOTAL_MOV,HINA_CMPH,SERVICO,LINER,BERCO_ATRACACAO
2019/03/22 19:00:00,2019/03/22 21:00:00,2019/03/23 00:00:00,2019/03/22 23:20:00,2019/03/23 01:43:00,2019/03/23 12:20:00,2019/03/23 17:40:00,MSC CADIZ,655,"34,18",UCLA,MSC,BTP 3
2019/02/20 19:00:00,2019/02/19 06:15:00,2019/02/19 23:00:00,2019/02/19 14:30:00,2019/02/20 01:33:00,2019/02/20 05:54:00,2019/02/20 11:15:00,MONTE SARMIENTO,140,"33,63",ALCT2,ALI,BTP 3
2019/02/10 13:00:00,2019/02/10 05:30:00,2019/02/10 08:00:00,2019/02/10 07:31:00,2019/02/10 09:00:00,2019/02/10 20:33:00,2019/02/10 22:45:00,MONTE VERDE,1395,"34,56",UCLA,HAM,BTP 2
2019/01/25 07:00:00,2019/01/26 14:30:00,2019/01/26 16:00:00,2019/01/26 16:04:00,2019/01/26 17:50:00,2019/01/27 03:08:00,2019/01/27 04:40:00,E.R. FRANCE,882,"34,78",WMED,MSC,BTP 1
2018/12/30 01:00:00,2018/12/30 23:00:00,2018/12/31 02:15:00,2018/12/31 01:30:00,2018/12/31 02:15:00,2019/01/01 11:09:00,2019/01/01 13:07:00,CZECH,1934,"29,57",IPANE-ASAS,ONE,BTP 3
2019/03/30 01:00:00,2019/03/29 14:30:00,2019/03/29 21:00:00,2019/03/29 20:30:00,2019/03/29 21:50:00,2019/03/30 12:34:00,2019/03/30 16:25:00,MAERSK LABERINTO,1015,"39,09",NEO BOSSA,MAE,BTP 2
2019/01/15 19:00:00,2019/01/14 23:00:00,2019/01/15 01:30:00,2019/01/15 02:05:00,2019/01/15 03:41:00,2019/01/15 15:16:00,2019/01/15 17:10:00,MSC LILY,1291,"32,37",NWC1,MSC,BTP 3
2019/01/04 19:00:00,2019/01/03 17:00:00,2019/01/03 23:00:00,2019/01/03 23:34:00,2019/01/04 01:36:00,2019/01/04 12:25:00,2019/01/04 16:38:00,MSC ORIANE,770,"38,71",USA-STRING,MSC,BTP 2
2019/03/17 01:00:00,2019/03/16 09:00:00,2019/03/17 00:00:00,2019/03/17 02:07:00,2019/03/17 03:41:00,2019/03/17 15:46:00,2019/03/17 18:43:00,MAERSK LABREA,1159,"34,81",NEO BOSSA,MAE,BTP 2
2019/02/26 19:00:00,2019/02/26 09:50:00,2019/02/27 18:00:00,2019/02/27 18:46:00,2019/02/27 21:15:00,2019/02/28 04:54:00,2019/02/28 08:07:00,ALIANÇA MANAUS,292,"32,24",ALCT3,ALI,BTP 3
